name,url,submissionUrl,category,da,tier,type
Google Business Profile,https://mybusiness.google.com,https://mybusiness.google.com,General Business,98,high,web_form
Apple Business Connect,https://businessconnect.apple.com,https://businessconnect.apple.com,General Business,100,high,web_form
Bing Places for Business,https://www.bingplaces.com,https://www.bingplaces.com/business,General Business,94,high,web_form
Yelp Business,https://biz.yelp.com,https://biz.yelp.com,General Business,93,high,web_form
Foursquare,https://foursquare.com,https://business.foursquare.com,General Business,91,high,web_form
Facebook Business,https://facebook.com/business,https://facebook.com/business/pages/create,General Business,90,high,web_form
LinkedIn Company,https://www.linkedin.com,https://www.linkedin.com/company/,General Business,89,high,web_form
Better Business Bureau,https://www.bbb.org,https://www.bbb.org,General Business,86,high,web_form
Yellow Pages,https://www.yellowpages.com,https://www.yellowpages.com/business-profiles,General Business,82,high,web_form
Angi,https://www.angi.com,https://www.angi.com/companypage,Home Services,78,high,web_form
Manta,https://www.manta.com,https://www.manta.com,General Business,74,high,web_form
CitySearch,https://www.citysearch.com,https://www.citysearch.com,General Business,72,high,web_form
MapQuest,https://www.mapquest.com,https://www.mapquest.com,General Business,70,high,web_form
Waze,https://www.waze.com,https://www.waze.com,General Business,70,high,web_form
Trustpilot,https://www.trustpilot.com,https://www.trustpilot.com/business/join,General Business,80,high,web_form
Nextdoor,https://nextdoor.com,https://nextdoor.com/business,General Business,72,high,web_form
TripAdvisor,https://tripadvisor.com,https://tripadvisor.com/AddBusiness,Travel & Hospitality,91,high,web_form
OpenTable,https://opentable.com,https://opentable.com,Restaurant & Food,85,high,web_form
Healthgrades,https://healthgrades.com,https://healthgrades.com,Medical & Health,84,high,web_form
Zocdoc,https://zocdoc.com,https://zocdoc.com,Medical & Health,82,high,web_form
Zillow,https://zillow.com,https://zillow.com,Real Estate,95,high,web_form
Realtor.com,https://realtor.com,https://realtor.com,Real Estate,88,high,web_form
Houzz,https://houzz.com,https://houzz.com/professionals,Home Services,86,high,web_form
Thumbtack,https://thumbtack.com,https://thumbtack.com,Home Services,82,high,web_form
Avvo,https://avvo.com,https://avvo.com,Legal & Law,81,high,web_form
FindLaw,https://findlaw.com,https://findlaw.com,Legal & Law,79,high,web_form
Instagram Business,https://business.instagram.com,https://business.instagram.com,General Business,88,high,web_form
Instagram,https://instagram.com,https://instagram.com,General Business,88,high,web_form
Twitter/X Business,https://business.twitter.com,https://business.twitter.com,General Business,87,high,web_form
OpenStreetMap,https://openstreetmap.org,https://openstreetmap.org,General Business,75,high,web_form
Sitejabber,https://sitejabber.com,https://sitejabber.com,General Business,70,high,web_form
Vitals,https://vitals.com,https://vitals.com,Medical & Health,76,high,web_form
Zomato,https://zomato.com,https://zomato.com,Restaurant & Food,88,high,web_form
Porch,https://porch.com,https://porch.com,Home Services,74,high,web_form
Google Maps,https://maps.google.com,https://maps.google.com,General Business,98,high,web_form
Bing Maps,https://www.bing.com/maps,https://www.bing.com/maps,General Business,94,high,web_form
Chamber of Commerce,https://www.chamberofcommerce.com,https://www.chamberofcommerce.com,General Business,65,medium,web_form
Superpages,https://superpages.com,https://superpages.com,General Business,68,medium,web_form
DexKnows,https://www.dexknows.com,https://www.dexknows.com,General Business,62,medium,web_form
Cylex,https://cylex.us.com,https://cylex.us.com,General Business,58,medium,web_form
Hotfrog,https://hotfrog.com,https://hotfrog.com,General Business,56,medium,web_form
Brownbook,https://brownbook.net,https://brownbook.net,General Business,54,medium,web_form
Merchant Circle,https://merchantcircle.com,https://merchantcircle.com,General Business,52,medium,web_form
