name,url,submissionUrl,category,da,tier,type
Google Business Profile,https://mybusiness.google.com,https://mybusiness.google.com,General Business,98,high,web_form
Apple Business Connect,https://businessconnect.apple.com,https://businessconnect.apple.com,General Business,100,high,web_form
Bing Places for Business,https://www.bingplaces.com,https://www.bingplaces.com/business,General Business,94,high,web_form
Yahoo Local,https://local.yahoo.com,https://local.yahoo.com,General Business,100,high,web_form
Yelp Business,https://biz.yelp.com,https://biz.yelp.com,General Business,93,high,web_form
Foursquare,https://foursquare.com,https://business.foursquare.com,General Business,91,high,web_form
Facebook Business,https://facebook.com/business,https://facebook.com/business/pages/create,General Business,90,high,web_form
LinkedIn Company,https://www.linkedin.com,https://www.linkedin.com/company/,General Business,89,high,web_form
Better Business Bureau,https://www.bbb.org,https://www.bbb.org,General Business,95,high,web_form
Yellow Pages,https://www.yellowpages.com,https://www.yellowpages.com/business-profiles,General Business,92,high,web_form
YellowBook,https://yellowbook.com,https://yellowbook.com,General Business,91,high,web_form
Angi,https://www.angi.com,https://www.angi.com/companypage,Home Services,89,high,web_form
Manta,https://www.manta.com,https://www.manta.com,General Business,87,high,web_form
CitySearch,https://www.citysearch.com,https://www.citysearch.com,General Business,90,high,web_form
MapQuest,https://www.mapquest.com,https://www.mapquest.com,General Business,95,high,web_form
Waze,https://www.waze.com,https://www.waze.com,General Business,90,high,web_form
Trustpilot,https://www.trustpilot.com,https://www.trustpilot.com/business/join,General Business,80,high,web_form
Google Maps,https://maps.google.com,https://maps.google.com,General Business,98,high,web_form
Bing Maps,https://www.bing.com/maps,https://www.bing.com/maps,General Business,94,high,web_form
Chamber of Commerce,https://www.chamberofcommerce.com,https://www.chamberofcommerce.com,General Business,71,high,web_form
Superpages,https://superpages.com,https://superpages.com,General Business,89,high,web_form
Local.com,https://local.com,https://local.com,General Business,80,high,web_form
MojoPages,https://mojopages.com,https://mojopages.com,General Business,80,high,web_form
DexKnows,https://www.dexknows.com,https://www.dexknows.com,General Business,82,high,web_form
ShowMeLocal,https://www.showmelocal.com,https://www.showmelocal.com,General Business,70,medium,web_form
Nextdoor,https://nextdoor.com,https://nextdoor.com/business,General Business,72,high,web_form
TripAdvisor,https://tripadvisor.com,https://tripadvisor.com/AddBusiness,Travel & Hospitality,91,high,web_form
OpenTable,https://opentable.com,https://opentable.com,Restaurant & Food,85,high,web_form
Zomato,https://zomato.com,https://zomato.com,Restaurant & Food,88,high,web_form
HappyCow,https://happycow.net,https://happycow.net,Restaurant & Food,72,high,web_form
Healthgrades,https://healthgrades.com,https://healthgrades.com/provider/register,Medical & Health,84,high,web_form
Zocdoc,https://zocdoc.com,https://zocdoc.com,Medical & Health,82,high,web_form
Vitals,https://vitals.com,https://vitals.com,Medical & Health,76,high,web_form
WebMD,https://webmd.com,https://webmd.com,Medical & Health,94,high,web_form
CareDash,https://caredash.com,https://caredash.com,Medical & Health,49,medium,web_form
Dentists.com,https://dentists.com,https://dentists.com,Dental,31,medium,web_form
EveryDentist,https://everydentist.com,https://everydentist.com,Dental,28,low,web_form
DentalClinics.org,https://dentalclinics.org,https://dentalclinics.org,Dental,27,low,web_form
Zillow,https://zillow.com,https://zillow.com,Real Estate,95,high,web_form
Realtor.com,https://realtor.com,https://realtor.com,Real Estate,88,high,web_form
LoopNet,https://loopnet.com,https://loopnet.com,Real Estate,65,medium,web_form
Houzz,https://houzz.com,https://houzz.com/professionals,Home Services,86,high,web_form
Thumbtack,https://thumbtack.com,https://thumbtack.com,Home Services,85,high,web_form
